var,group_id,min,max,estimated,observed
Deforestation,2,-1,0,31,31
Agriculture Establishment,1,-8.7,11.049999999999983,31,31
Agriculture Establishment,2,-1.75,3.75,31,31
Conversion Length,1,-10.399999999999999,13.799999999999983,31,31
Conversion Length,2,-2,4,31,31
Deforestation,1,-4.199999999999999,3.1999999999999886,32,32
Deforestation,2,-1,0,32,32
Agriculture Establishment,1,-8.7,11.049999999999983,32,32
Agriculture Establishment,2,-1.75,3.75,32,32
Conversion Length,1,-10.399999999999999,13.799999999999983,32,32
Conversion Length,2,-2,4,32,32
Deforestation,1,-4.199999999999999,3.1999999999999886,33,33
Deforestation,2,-1,0,33,33
Agriculture Establishment,1,-8.7,11.049999999999983,33,33
Agriculture Establishment,2,-1.75,3.75,33,33
Conversion Length,1,-10.399999999999999,13.799999999999983,33,33
Conversion Length,2,-2,4,33,33
Deforestation,1,-4.199999999999999,3.1999999999999886,34,34
Deforestation,2,-1,0,34,34
Agriculture Establishment,1,-8.7,11.049999999999983,34,34
Agriculture Establishment,2,-1.75,3.75,34,34
Conversion Length,1,-10.399999999999999,13.799999999999983,34,34
Conversion Length,2,-2,4,34,34
Deforestation,1,-4.199999999999999,3.1999999999999886,35,35
Deforestation,2,-1,0,35,35
Agriculture Establishment,1,-8.7,11.049999999999983,35,35
Agriculture Establishment,2,-1.75,3.75,35,35
Conversion Length,1,-10.399999999999999,13.799999999999983,35,35
Conversion Length,2,-2,4,35,35
Deforestation,1,-4.199999999999999,3.1999999999999886,36,36
Deforestation,2,-1,0,36,36
Agriculture Establishment,1,-8.7,11.049999999999983,36,36
Agriculture Establishment,2,-1.75,3.75,36,36
Conversion Length,1,-10.399999999999999,13.799999999999983,36,36
Conversion Length,2,-2,4,36,36
