ID,c_length,n,name_biome,code_biome,year,geometry
20110,0,28,Amazônia,1,2019,"list(list(c(-65.2553831406142, -65.2553831406142, -65.3053831406142, -65.3553831406142, -65.3553831406142, -65.3053831406142, -65.2553831406142, -9.15891367317919, -9.10117864626023, -9.07231113280075, -9.10117864626023, -9.15891367317919, -9.18778118663867, -9.15891367317919)))"
20489,0,23,Amazônia,1,2019,"list(list(c(-65.1053831406142, -65.1053831406142, -65.1553831406142, -65.2053831406142, -65.2053831406142, -65.1553831406142, -65.1053831406142, -9.59192637507141, -9.53419134815245, -9.50532383469297, -9.53419134815245, -9.59192637507141, -9.62079388853089, -9.59192637507141)))"
20998,0,35,Amazônia,1,2019,"list(list(c(-64.9053831406142, -64.9053831406142, -64.9553831406142, -65.0053831406142, -65.0053831406142, -64.9553831406142, -64.9053831406142, -9.41872129431453, -9.36098626739556, -9.33211875393608, -9.36098626739556, -9.41872129431453, -9.44758880777401, -9.41872129431453)))"
21125,0,70,Amazônia,1,2019,"list(list(c(-64.8553831406142, -64.8553831406142, -64.9053831406142, -64.9553831406142, -64.9553831406142, -64.9053831406142, -64.8553831406142, -9.33211875393608, -9.27438372701712, -9.24551621355764, -9.27438372701712, -9.33211875393608, -9.36098626739556, -9.33211875393608)))"
21252,0,116,Amazônia,1,2019,"list(list(c(-64.8053831406142, -64.8053831406142, -64.8553831406142, -64.9053831406142, -64.9053831406142, -64.8553831406142, -64.8053831406142, -9.41872129431453, -9.36098626739556, -9.33211875393608, -9.36098626739556, -9.41872129431453, -9.44758880777401, -9.41872129431453)))"
21377,17,43,Amazônia,1,2019,"list(list(c(-64.7553831406142, -64.7553831406142, -64.8053831406142, -64.8553831406142, -64.8553831406142, -64.8053831406142, -64.7553831406142, -9.67852891544986, -9.62079388853089, -9.59192637507141, -9.6207938885309, -9.67852891544986, -9.70739642890934, -9.67852891544986)))"
21506,0,159,Amazônia,1,2019,"list(list(c(-64.7053831406142, -64.7053831406142, -64.7553831406142, -64.8053831406142, -64.8053831406142, -64.7553831406142, -64.7053831406142, -9.41872129431453, -9.36098626739556, -9.33211875393608, -9.36098626739556, -9.41872129431453, -9.44758880777401, -9.41872129431453)))"
21507,0,75,Amazônia,1,2019,"list(list(c(-64.7053831406142, -64.7053831406142, -64.7553831406142, -64.8053831406142, -64.8053831406142, -64.7553831406142, -64.7053831406142, -9.24551621355764, -9.18778118663867, -9.15891367317919, -9.18778118663867, -9.24551621355764, -9.27438372701712, -9.24551621355764)))"
21633,0,196,Amazônia,1,2019,"list(list(c(-64.6553831406142, -64.6553831406142, -64.7053831406142, -64.7553831406142, -64.7553831406142, -64.7053831406142, -64.6553831406142, -9.33211875393608, -9.27438372701712, -9.24551621355764, -9.27438372701712, -9.33211875393608, -9.36098626739556, -9.33211875393608)))"
21760,0,49,Amazônia,1,2019,"list(list(c(-64.6053831406142, -64.6053831406142, -64.6553831406142, -64.7053831406142, -64.7053831406142, -64.6553831406142, -64.6053831406142, -9.41872129431453, -9.36098626739556, -9.33211875393608, -9.36098626739556, -9.41872129431453, -9.44758880777401, -9.41872129431453)))"
21761,0,194,Amazônia,1,2019,"list(list(c(-64.6053831406142, -64.6053831406142, -64.6553831406142, -64.7053831406142, -64.7053831406142, -64.6553831406142, -64.6053831406142, -9.24551621355764, -9.18778118663867, -9.15891367317919, -9.18778118663867, -9.24551621355764, -9.27438372701712, -9.24551621355764)))"
21887,0,59,Amazônia,1,2019,"list(list(c(-64.5553831406142, -64.5553831406142, -64.6053831406142, -64.6553831406142, -64.6553831406142, -64.6053831406142, -64.5553831406142, -9.33211875393608, -9.27438372701712, -9.24551621355764, -9.27438372701712, -9.33211875393608, -9.36098626739556, -9.33211875393608)))"
